Line,Direction,StationFrom,StationTo,Distance,UnimpededRunningTime,AMPeakRunningTime,InterPeakRunningTime
Central ,Eastbound,West Acton,North Acton,1.77,2.3,2.86,3.26
Central ,Eastbound,North Acton,East Acton,1.11,1.5,1.75,1.75
Central ,Eastbound,East Acton,White City,2.06,2.57,3.28,3.71
Central ,Eastbound,White City,Shepherd's Bush,1.16,2.68,2.75,2.75
Central ,Eastbound,Shepherd's Bush,Holland Park,0.87,1.37,1.75,1.75
Central ,Eastbound,Holland Park,Notting Hill Gate,0.61,1.08,1.5,1.5
Central ,Eastbound,Notting Hill Gate,Queensway,0.69,1.17,1.5,1.5
Central ,Eastbound,Queensway,Lancaster Gate,0.9,1.35,1.5,1.5
Central ,Eastbound,Lancaster Gate,Marble Arch,1.2,1.92,2.71,2.5
Central ,Eastbound,Marble Arch,Bond Street,0.55,1,1.25,1.25
Central ,Eastbound,Bond Street,Oxford Circus,0.66,1.1,1.5,1.5
Central ,Eastbound,Oxford Circus,Tottenham Court Road,0.58,0.98,1.5,1.5
Central ,Eastbound,Tottenham Court Road,Holborn,0.88,1.63,2.21,2.01
Central ,Eastbound,Holborn,Chancery Lane,0.4,0.87,1,1
Central ,Eastbound,Chancery Lane,St Pauls',1.03,1.52,2,2
Central ,Eastbound,St Pauls',Bank,0.74,1.62,2,2
Central ,Eastbound,Bank,Liverpool Street,0.74,1.62,2.25,2.25
Central ,Eastbound,Liverpool Street,Bethnal Green,2.27,2.6,2.75,2.75
Central ,Eastbound,Bethnal Green,Mile End,1.64,1.98,2.25,2.25
Central ,Eastbound,Mile End,Stratford,2.83,3.18,3.42,3.25
Central ,Eastbound,Stratford,Leyton,2.09,2.4,2.75,2.75
Central ,Eastbound,Leyton,Leytonstone,1.62,2.02,2.81,2.76
Central ,Eastbound,Leytonstone,Wanstead,1.72,2.15,2.25,2.25
Central ,Eastbound,Wanstead,Redbridge,1.22,1.62,2,2
Central ,Eastbound,Redbridge,Gants Hill,1.27,1.65,1.75,1.75
Central ,Eastbound,Gants Hill,Newbury Park,2.36,2.68,3.06,2.98
Central ,Eastbound,Newbury Park,Barkingside,1.11,1.55,1.75,1.75
Central ,Eastbound,Barkingside,Fairlop,1.22,1.57,1.84,1.79
Central ,Eastbound,Fairlop,Hainault,0.75,2.93,3.89,4.12
Central ,Eastbound,Leytonstone,Snaresbrook,1.57,1.8,2.25,2.25
Central ,Eastbound,Snaresbrook,South Woodford,1.29,1.62,1.75,1.75
Central ,Eastbound,South Woodford,Woodford,1.8,1.9,2.34,2.26
Central ,Inner,Roding Valley,Woodford,1.33,2.03,2.78,2.22
Central ,Inner,Chigwell,Roding Valley,2.28,2.45,2.77,2.5
Central ,Inner,Grange Hill,Chigwell,1.32,1.63,2,2
Central ,Inner,Hainault,Grange Hill,1.12,1.73,1.89,1.79
Central ,Eastbound,Woodford,Buckhurst Hill,2.31,2.28,2.5,2.5
Central ,Eastbound,Buckhurst Hill,Loughton,1.83,2.35,2.7,2.53
Central ,Eastbound,Loughton,Debden,2.02,2.13,2.22,2.25
Central ,Eastbound,Debden,Theydon Bois,3.34,3,3,3
Central ,Eastbound,Theydon Bois,Epping,2.54,2.6,2.76,2.75
Central ,Westbound,Epping,Theydon Bois,2.54,2.37,2.5,2.5
Central ,Westbound,Theydon Bois,Debden,3.34,2.88,3.43,3.25
Central ,Westbound,Debden,Loughton,2.02,2.67,2.97,3.4
Central ,Westbound,Loughton,Buckhurst Hill,1.83,2.07,2.53,2.5
Central ,Westbound,Buckhurst Hill,Woodford,2.31,2.32,2.53,2.53
Central ,Outer,Grange Hill,Hainault,1.12,1.7,5.28,4.32
Central ,Outer,Chigwell,Grange Hill,1.32,1.73,2.61,2.11
Central ,Outer,Roding Valley,Chigwell,2.28,2.13,2.25,2.25
Central ,Outer,Woodford,Roding Valley,1.33,2.18,2.53,2.5
Central ,Westbound,Woodford,South Woodford,1.8,1.95,2.25,2.25
Central ,Westbound,South Woodford,Snaresbrook,1.29,1.6,1.75,1.75
Central ,Westbound,Snaresbrook,Leytonstone,1.57,2.05,3.46,3.33
Central ,Westbound,Hainault,Fairlop,0.75,1.82,2,2
Central ,Westbound,Fairlop,Barkingside,1.22,1.57,1.75,1.75
Central ,Westbound,Barkingside,Newbury Park,1.11,1.58,2.25,2.35
Central ,Westbound,Newbury Park,Gants Hill,2.36,2.73,3,3
Central ,Westbound,Gants Hill,Redbridge,1.27,1.7,2,2
Central ,Westbound,Redbridge,Wanstead,1.22,1.58,1.75,1.75
Central ,Westbound,Wanstead,Leytonstone,1.72,2.17,3.05,3.64
Central ,Westbound,Leytonstone,Leyton,1.62,2.02,2.25,2.25
Central ,Westbound,Leyton,Stratford,2.09,2.43,2.96,2.75
Central ,Westbound,Stratford,Mile End,2.83,3.03,3,3
Central ,Westbound,Mile End,Bethnal Green,1.64,1.97,2.47,2.25
Central ,Westbound,Bethnal Green,Liverpool Street,2.27,2.77,3.48,3.25
Central ,Westbound,Liverpool Street,Bank,0.74,1.65,2,2
Central ,Westbound,Bank,St Pauls',0.74,1.63,2,2
Central ,Westbound,St Pauls',Chancery Lane,1.03,1.52,1.75,1.75
Central ,Westbound,Chancery Lane,Holborn,0.4,0.85,1.46,1.25
Central ,Westbound,Holborn,Tottenham Court Road,0.88,1.38,1.75,1.75
Central ,Westbound,Tottenham Court Road,Oxford Circus,0.58,1.02,1.5,1.5
Central ,Westbound,Oxford Circus,Bond Street,0.66,1.03,1.25,1.25
Central ,Westbound,Bond Street,Marble Arch,0.55,1.02,1.66,1.5
Central ,Westbound,Marble Arch,Lancaster Gate,1.2,1.62,2,2
Central ,Westbound,Lancaster Gate,Queensway,0.9,1.65,1.75,1.75
Central ,Westbound,Queensway,Notting Hill Gate,0.69,1.18,1.5,1.5
Central ,Westbound,Notting Hill Gate,Holland Park,0.61,1.18,1.5,1.5
Central ,Westbound,Holland Park,Shepherd's Bush,0.87,1.52,1.75,1.75
Central ,Westbound,Shepherd's Bush,White City,1.16,2.77,3.74,3.97
Central ,Westbound,White City,East Acton,2.06,2.67,3,3
Central ,Westbound,East Acton,North Acton,1.11,1.57,2.12,2.54
Central ,Westbound,North Acton,West Acton,1.77,2.52,2.85,2.76
Central ,Westbound,West Acton,Ealing Broadway,1.53,3.07,2.76,2.82
Central ,Westbound,North Acton,Hanger Lane,2.49,2.87,3.15,3
Central ,Westbound,Hanger Lane,Perivale,2.1,2.07,2.28,2.25
Central ,Westbound,Perivale,Greenford,1.69,2,2.27,2.25
Central ,Westbound,Greenford,Northolt,1.78,2.15,2.37,2.28
Central ,Westbound,Northolt,South Ruislip,2.28,2.25,2.52,2.5
Central ,Westbound,South Ruislip,Ruislip Gardens,0.86,1.37,2.09,1.54
Central ,Westbound,Ruislip Gardens,West Ruislip,2.04,2.68,2.86,2.75
Victoria,Southbound,Walthamstow Central,Blackhorse Road,1.45,2.12,2,2
Victoria,Southbound,Blackhorse Road,Tottenham Hale,1.37,1.9,2.36,2
Victoria,Southbound,Tottenham Hale,Seven Sisters,1.05,2,2.77,3.28
Victoria,Southbound,Seven Sisters,Finsbury Park,3.15,3.77,4,4
Victoria,Southbound,Finsbury Park,Highbury & Islington,1.93,2.9,2.89,2.55
Victoria,Southbound,Highbury & Islington,King's Cross,2.45,2.77,3.5,3.5
Victoria,Southbound,King's Cross,Euston,0.74,1.32,1.92,1.5
Victoria,Southbound,Euston,Warren Street,0.76,1.3,1.5,1.5
Victoria,Southbound,Warren Street,Oxford Circus,0.9,1.72,2.44,2
Victoria,Southbound,Oxford Circus,Green Park,1.14,1.78,2,2.04
Victoria,Southbound,Green Park,Victoria,1.09,1.88,2.5,2.54
Victoria,Southbound,Victoria,Pimlico,1.19,1.83,2,2
Victoria,Southbound,Pimlico,Vauxhall,0.8,1.4,1.5,1.54
Victoria,Southbound,Vauxhall,Stockwell,1.77,2.3,2.94,2.52
Victoria,Southbound,Stockwell,Brixton,1.46,2.03,2.5,2.5
Victoria,Northbound,Brixton,Stockwell,1.46,2.18,2.45,2
Victoria,Northbound,Stockwell,Vauxhall,1.77,2.23,2.5,2.5
Victoria,Northbound,Vauxhall,Pimlico,0.8,1.37,1.5,1.5
Victoria,Northbound,Pimlico,Victoria,1.19,2.18,2.97,2.51
Victoria,Northbound,Victoria,Green Park,1.09,1.95,2,2
Victoria,Northbound,Green Park,Oxford Circus,1.14,1.97,2.47,2.02
Victoria,Northbound,Oxford Circus,Warren Street,0.9,1.53,2.48,2.04
Victoria,Northbound,Warren Street,Euston,0.76,1.32,1.5,1.5
Victoria,Northbound,Euston,King's Cross,0.74,1.35,2,2
Victoria,Northbound,King's Cross,Highbury & Islington,2.45,2.87,3,3
Victoria,Northbound,Highbury & Islington,Finsbury Park,1.93,2.4,2.97,2.56
Victoria,Northbound,Finsbury Park,Seven Sisters,3.15,4.25,5.34,5.76
Victoria,Northbound,Seven Sisters,Tottenham Hale,1.05,1.6,1.5,1.5
Victoria,Northbound,Tottenham Hale,Blackhorse Road,1.37,1.97,2.5,2.5
Victoria,Northbound,Blackhorse Road,Walthamstow Central,1.45,2.12,2.04,2.01
Waterloo & City,Eastbound,Waterloo,Bank,2.37,4.87,4,4
Waterloo & City,Westbound,Bank,Waterloo,2.37,4.2,3.75,3.75
Jubilee ,Eastbound,Stanmore,Canons Park,1.27,1.95,2,2
Jubilee ,Eastbound,Canons Park,Queensbury,1.71,1.93,2.5,2.5
Jubilee ,Eastbound,Queensbury,Kingsbury,1.33,1.72,2,2
Jubilee ,Eastbound,Kingsbury,Wembley Park,2.85,3.47,4.73,4.56
Jubilee ,Eastbound,Wembley Park,Neasden,2.28,2.6,3.03,3.01
Jubilee ,Eastbound,Neasden,Dollis Hill,0.85,1.43,1.5,1.5
Jubilee ,Eastbound,Dollis Hill,Willesden Green,1.21,1.8,2.11,2.14
Jubilee ,Eastbound,Willesden Green,Kilburn,1.19,1.68,2,2
Jubilee ,Eastbound,Kilburn,West Hampstead,1.09,1.63,2.5,2
Jubilee ,Eastbound,West Hampstead,Finchley Road,0.61,1.25,1.5,1.5
Jubilee ,Eastbound,Finchley Road,Swiss Cottage,0.61,1.18,1.5,1.5
Jubilee ,Eastbound,Swiss Cottage,St John's Wood,0.92,1.52,2,2
Jubilee ,Eastbound,St John's Wood,Baker Street,2.06,2.77,3.5,3.5
Jubilee ,Eastbound,Baker Street,Bond Street,1.66,2.1,2.5,2.5
Jubilee ,Eastbound,Bond Street,Green Park,1.37,1.78,2.5,2.5
Jubilee ,Eastbound,Green Park,Westminster,1.34,1.87,2.5,2.5
Jubilee ,Eastbound,Westminster,Waterloo,0.96,1.38,2,2
Jubilee ,Eastbound,Waterloo,Southwark,0.44,1.02,1,1
Jubilee ,Eastbound,Southwark,London Bridge,1.26,1.65,2.5,2.5
Jubilee ,Eastbound,London Bridge,Bermondsey,1.93,2.25,2.5,2.5
Jubilee ,Eastbound,Bermondsey,Canada Water,1.06,1.48,2,2
Jubilee ,Eastbound,Canada Water,Canary Wharf,2.41,2.5,3,3.02
Jubilee ,Eastbound,Canary Wharf,North Greenwich,1.71,2.23,3.19,3.49
Jubilee ,Eastbound,North Greenwich,Canning Town,1.71,2.15,2.5,2.5
Jubilee ,Eastbound,Canning Town,West Ham,1.58,2.15,2.93,2.58
Jubilee ,Eastbound,West Ham,Stratford,1.54,3.15,4.9,3.77
Jubilee ,Westbound,Stratford,West Ham,1.54,2.42,3.5,3.12
Jubilee ,Westbound,West Ham,Canning Town,1.58,2.13,2.5,2.5
Jubilee ,Westbound,Canning Town,North Greenwich,1.71,2.17,3.07,2.99
Jubilee ,Westbound,North Greenwich,Canary Wharf,1.71,1.98,2.55,2.5
Jubilee ,Westbound,Canary Wharf,Canada Water,2.41,2.63,3,3
Jubilee ,Westbound,Canada Water,Bermondsey,1.06,1.52,2,2
Jubilee ,Westbound,Bermondsey,London Bridge,1.93,2.17,2.5,2.5
Jubilee ,Westbound,London Bridge,Southwark,1.26,1.77,2,2
Jubilee ,Westbound,Southwark,Waterloo,0.44,0.97,1.5,1.5
Jubilee ,Westbound,Waterloo,Westminster,0.96,1.43,2.44,2.01
Jubilee ,Westbound,Westminster,Green Park,1.34,1.82,2,2.01
Jubilee ,Westbound,Green Park,Bond Street,1.37,1.82,2.5,2.5
Jubilee ,Westbound,Bond Street,Baker Street,1.66,2.28,2.5,2.5
Jubilee ,Westbound,Baker Street,St John's Wood,2.06,2.85,3.5,3.5
Jubilee ,Westbound,St John's Wood,Swiss Cottage,0.92,1.52,1.5,1.5
Jubilee ,Westbound,Swiss Cottage,Finchley Road,0.61,1.18,2,2
Jubilee ,Westbound,Finchley Road,West Hampstead,0.61,1.2,1.5,1.51
Jubilee ,Westbound,West Hampstead,Kilburn,1.09,1.55,2,2
Jubilee ,Westbound,Kilburn,Willesden Green,1.19,2.07,2.32,2.22
Jubilee ,Westbound,Willesden Green,Dollis Hill,1.21,1.67,2,2
Jubilee ,Westbound,Dollis Hill,Neasden,0.85,1.38,1.62,1.5
Jubilee ,Westbound,Neasden,Wembley Park,2.28,2.65,3.76,3.53
Jubilee ,Westbound,Wembley Park,Kingsbury,2.85,3.47,4,4
Jubilee ,Westbound,Kingsbury,Queensbury,1.33,1.85,2,2
Jubilee ,Westbound,Queensbury,Canons Park,1.71,2.23,2.5,2.5
Jubilee ,Westbound,Canons Park,Stanmore,1.27,2.87,3.24,3.09
Northern ,Southbound,Edgware,Burnt Oak,1.47,2.43,2.5,2.5
Northern ,Southbound,Burnt Oak,Colindale,1.31,1.98,2.5,2.5
Northern ,Southbound,Colindale,Hendon Central,2.1,2.83,3,3
Northern ,Southbound,Hendon Central,Brent Cross,1.1,1.73,2,2
Northern ,Southbound,Brent Cross,Golders Green,1.55,2.57,3.03,3.64
Northern ,Southbound,Golders Green,Hampstead,2.34,3.42,3.5,3.5
Northern ,Southbound,Hampstead,Belsize Park,1.2,1.82,2,2
Northern ,Southbound,Belsize Park,Chalk Farm,1.1,1.77,2,2
Northern ,Southbound,Chalk Farm,Camden Town,0.85,1.53,2.62,2.56
Northern ,Southbound,High Barnet,Totteridge & Whetstone,2.46,3.67,3.5,3.5
Northern ,Southbound,Totteridge & Whetstone,Woodside Park,1.5,2.23,2.5,2.5
Northern ,Southbound,Woodside Park,West Finchley,0.98,1.7,1.5,1.5
Northern ,Southbound,West Finchley,Finchley Central,1.14,2.08,3.13,2.51
Northern ,Southbound,Mill Hill East,Finchley Central,1.52,2.75,3.27,3
Northern ,Southbound,Finchley Central,East Finchley,2.42,3.37,3.5,3.5
Northern ,Southbound,East Finchley,Highgate,1.63,3,3,3
Northern ,Southbound,Highgate,Archway,1.7,2.8,3,3
Northern ,Southbound,Archway,Tufnell Park,0.88,1.6,1.5,1.5
Northern ,Southbound,Tufnell Park,Kentish Town,0.8,1.42,1.5,1.5
Northern ,Southbound,Kentish Town,Camden Town,1.15,1.93,3.08,3.08
Northern ,Southbound,Camden Town,Mornington Crescent,0.64,1.63,1.5,1.5
Northern ,Southbound,Mornington Crescent,Euston,0.82,1.52,2,2
Northern ,Southbound,Euston,Warren Street,0.58,1.18,1.5,1.5
Northern ,Southbound,Warren Street,Goodge Street,0.46,1.07,1.5,1.5
Northern ,Southbound,Goodge Street,Tottenham Court Road,0.62,1.32,1.73,1.5
Northern ,Southbound,Tottenham Court Road,Leicester Square,0.4,0.98,1,1
Northern ,Southbound,Leicester Square,Charing Cross,0.46,1.2,1.99,1.5
Northern ,Southbound,Charing Cross,Embankment,0.27,0.8,1,1
Northern ,Southbound,Embankment,Waterloo,0.7,1.37,1.5,1.5
Northern ,Southbound,Waterloo,Kennington,1.89,2.97,3.96,3.4
Northern ,Southbound,Camden Town,Euston,1.71,2.95,3.5,3.55
Northern ,Southbound,Euston,King's Cross,0.61,1.53,1.5,1.5
Northern ,Southbound,King's Cross,Angel,1.38,2.18,2.5,2.5
Northern ,Southbound,Angel,Old Street,1.44,2.87,3,3
Northern ,Southbound,Old Street,Moorgate,0.69,1.37,2,1.51
Northern ,Southbound,Moorgate,Bank,0.82,1.9,2,2
Northern ,Southbound,Bank,London Bridge,0.69,1.55,2.25,2
Northern ,Southbound,London Bridge,Borough,0.67,1.45,1.5,1.5
Northern ,Southbound,Borough,Elephant & Castle,0.85,1.72,2,2
Northern ,Southbound,Elephant & Castle,Kennington,0.9,2.03,3,3.47
Northern ,Southbound,Kennington,Oval,0.82,1.58,2,2
Northern ,Southbound,Oval,Stockwell,1.36,2.2,2.5,2.5
Northern ,Southbound,Stockwell,Clapham North,0.82,1.55,1.5,1.5
Northern ,Southbound,Clapham North,Clapham Common,0.62,1.4,1.5,1.5
Northern ,Southbound,Clapham Common,Clapham South,1.25,2,2.5,2.5
Northern ,Southbound,Clapham South,Balham,1.15,1.88,2,2
Northern ,Southbound,Balham,Tooting Bec,0.98,1.67,2,2
Northern ,Southbound,Tooting Bec,Tooting Broadway,1.1,1.77,2,2
Northern ,Southbound,Tooting Broadway,Colliers Wood,1.2,1.98,2,2
Northern ,Southbound,Colliers Wood,South Wimbledon,1.14,1.88,2,2
Northern ,Southbound,South Wimbledon,Morden,1.46,2.95,3.55,3.56
Northern ,Northbound,Morden,South Wimbledon,1.46,2.35,2.5,2.5
Northern ,Northbound,South Wimbledon,Colliers Wood,1.14,1.85,2,2
Northern ,Northbound,Colliers Wood,Tooting Broadway,1.2,1.97,2,2
Northern ,Northbound,Tooting Broadway,Tooting Bec,1.1,1.88,2,2
Northern ,Northbound,Tooting Bec,Balham,0.98,1.65,2,2
Northern ,Northbound,Balham,Clapham South,1.15,1.8,2,2
Northern ,Northbound,Clapham South,Clapham Common,1.25,2.2,2.5,2.5
Northern ,Northbound,Clapham Common,Clapham North,0.62,1.32,1.76,1.5
Northern ,Northbound,Clapham North,Stockwell,0.82,1.72,2.49,2
Northern ,Northbound,Stockwell,Oval,1.36,2.03,2.5,2.5
Northern ,Northbound,Oval,Kennington,0.82,1.7,2.81,2.91
Northern ,Northbound,Kennington,Elephant & Castle,1.89,1.8,2,2
Northern ,Northbound,Elephant & Castle,Borough,0.85,1.75,2,2
Northern ,Northbound,Borough,London Bridge,0.67,1.4,1.5,1.5
Northern ,Northbound,London Bridge,Bank,0.69,1.53,2.34,2
Northern ,Northbound,Bank,Moorgate,0.82,1.77,2.5,2.01
Northern ,Northbound,Moorgate,Old Street,0.69,1.45,1.5,1.5
Northern ,Northbound,Old Street,Angel,1.44,2.43,2.5,2.5
Northern ,Northbound,Angel,King's Cross,1.38,2.15,2.5,2.5
Northern ,Northbound,King's Cross,Euston,0.61,1.33,1.68,1.52
Northern ,Northbound,Euston,Camden Town,0.82,3.88,4.42,4.02
Northern ,Northbound,Kennington,Waterloo,1.89,2.77,3,3
Northern ,Northbound,Waterloo,Embankment,0.7,1.4,2,2
Northern ,Northbound,Embankment,Charing Cross,0.27,0.87,1.26,1
Northern ,Northbound,Charing Cross,Leicester Square,0.46,1.17,1.5,1.5
Northern ,Northbound,Leicester Square,Tottenham Court Road,0.4,1.03,1.5,1.5
Northern ,Northbound,Tottenham Court Road,Goodge Street,0.62,1.28,1.5,1.5
Northern ,Northbound,Goodge Street,Warren Street,0.46,1.07,1.5,1.5
Northern ,Northbound,Warren Street,Euston,0.58,1.18,1.5,1.5
Northern ,Northbound,Euston,Mornington Crescent,0.82,1.53,1.51,1.5
Northern ,Northbound,Mornington Crescent,Camden Town,0.64,1.8,2.99,2.04
Northern ,Northbound,Camden Town,Kentish Town,1.15,1.95,2,2
Northern ,Northbound,Kentish Town,Tufnell Park,0.8,1.58,1.5,1.5
Northern ,Northbound,Tufnell Park,Archway,0.88,1.68,2,2
Northern ,Northbound,Archway,Highgate,1.7,2.75,3,3
Northern ,Northbound,Highgate,East Finchley,1.63,2.62,3.02,3
Northern ,Northbound,East Finchley,Finchley Central,2.42,3.1,4.28,4.26
Northern ,Northbound,Finchley Central,Mill Hill East,1.52,2.98,2.5,2.5
Northern ,Northbound,Finchley Central,West Finchley,1.14,2.1,2,2
Northern ,Northbound,West Finchley,Woodside Park,0.98,1.55,2,2
Northern ,Northbound,Woodside Park,Totteridge & Whetstone,1.5,2.23,2.5,2.5
Northern ,Northbound,Totteridge & Whetstone,High Barnet,2.46,4.62,4.83,4.5
Northern ,Northbound,Camden Town,Chalk Farm,0.85,1.55,1.5,1.5
Northern ,Northbound,Chalk Farm,Belsize Park,1.1,1.9,2,2
Northern ,Northbound,Belsize Park,Hampstead,1.2,2.02,2.5,2.5
Northern ,Northbound,Hampstead,Golders Green,2.34,3.95,4.97,5.36
Northern ,Northbound,Golders Green,Brent Cross,1.55,2.22,2.5,2.5
Northern ,Northbound,Brent Cross,Hendon Central,1.1,1.83,2,2
Northern ,Northbound,Hendon Central,Colindale,2.1,2.67,3,3
Northern ,Northbound,Colindale,Burnt Oak,1.31,2.07,2,2
Northern ,Northbound,Burnt Oak,Edgware,1.47,3.37,3.94,3.6
Piccadilly ,Eastbound,Uxbridge,Hillingdon,2.03,3,3,3
Piccadilly ,Eastbound,Hillingdon,Ickenham,1.08,1.6,2,2
Piccadilly ,Eastbound,Ickenham,Ruislip,1.85,2.3,2.5,2.5
Piccadilly ,Eastbound,Ruislip,Ruislip Manor,0.72,1.3,1.5,1.5
Piccadilly ,Eastbound,Ruislip Manor,Eastcote,1.14,1.67,2,2
Piccadilly ,Eastbound,Eastcote,Rayners Lane,1.72,2.23,3.35,3.95
Piccadilly ,Eastbound,Rayners Lane,South Harrow,1.89,2.58,3.74,4.46
Piccadilly ,Eastbound,South Harrow,Sudbury Hill,1.36,1.85,2,2
Piccadilly ,Eastbound,Sudbury Hill,Sudbury Town,1.65,2.03,2.5,2.5
Piccadilly ,Eastbound,Sudbury Town,Alperton,1.57,1.95,2.5,2.5
Piccadilly ,Eastbound,Alperton,Park Royal,1.97,2.2,2.5,2.5
Piccadilly ,Eastbound,Park Royal,North Ealing,1.06,1.52,2.5,2.03
Piccadilly ,Eastbound,North Ealing,Ealing Common,0.94,1.65,2.5,2.5
Piccadilly ,Eastbound,Ealing Common,Acton Town,1.03,1.83,3.04,3.45
Piccadilly ,Eastbound,Heathrow Airport Terminal 1 2 & 3,Hatton Cross,2.15,2.63,4.43,4.08
Piccadilly ,Eastbound,Hatton Cross,Hounslow West,2.91,3.25,3.5,3.5
Piccadilly ,Eastbound,Hounslow West,Hounslow Central,1.46,1.98,2.5,2.5
Piccadilly ,Eastbound,Hounslow Central,Hounslow East,0.74,1.3,1.5,1.5
Piccadilly ,Eastbound,Hounslow East,Osterley,0.96,1.53,2,2
Piccadilly ,Eastbound,Osterley,Boston Manor,2.42,2.85,3,3
Piccadilly ,Eastbound,Boston Manor,Northfields,0.99,1.98,4.46,3.38
Piccadilly ,Eastbound,Northfields,South Ealing,0.38,0.98,1.5,1.5
Piccadilly ,Eastbound,South Ealing,Acton Town,2.2,2.93,4.11,4.28
Piccadilly ,Eastbound,Acton Town,Hammersmith,4.42,5.65,6,5.53
Piccadilly ,Eastbound,Hammersmith,Barons Court,0.68,1.38,2,2
Piccadilly ,Eastbound,Barons Court,Earls Court,1.62,2.55,3,3
